colorNameId,participantId,lang0,phaseNum,trialNum,tileNum,name,r,g,b,lab_l,lab_a,lab_b,bin
129,3147,English (English),0,3,8,Mauve,181,0,255,48,88,-80,27
130,3147,English (English),0,3,9,Royal blue,50,0,255,33,79,-105,25
131,3147,English (English),0,3,10,Sky blue,0,131,255,55,16,-69,21
132,3147,English (English),0,3,11,Lime green,0,255,111,88,-79,54,11
133,3143,English (English),0,6,0,Marigold,227,255,0,95,-32,92,7
134,3143,English (English),0,6,1,Dark Yellow,255,185,0,79,13,82,4
135,3143,English (English),0,6,2,Yellow,255,234,0,91,-11,90,5
136,3143,English (English),0,6,3,Purple,168,0,255,46,86,-84,27
137,3143,English (English),0,6,4,Violet,222,0,255,54,93,-69,28
138,3143,English (English),0,6,5,Lime Green,0,255,73,87,-83,68,10
139,3143,English (English),0,6,6,Blue,0,153,255,61,3,-59,20
140,3143,English (English),0,6,7,Magenta,255,0,171,56,88,-19,31
141,3143,English (English),0,6,8,Turquoise Green,0,255,123,88,-77,48,12
142,3143,English (English),0,6,9,Bright Pink,255,0,176,56,88,-21,30
143,3143,English (English),0,6,10,Yellow,255,255,0,97,-21,94,6
144,3143,English (English),0,6,11,Lime Green,167,255,0,91,-55,87,8
145,3147,English (English),0,6,0,Mint green,0,255,237,90,-53,-5,15
146,3147,English (English),0,6,1,Lime green,0,255,52,87,-84,75,10
147,3147,English (English),0,6,2,Light blue,0,212,255,78,-28,-33,17
148,3147,English (English),0,6,3,Turquoise,0,253,255,90,-47,-14,16
149,3147,English (English),0,6,4,Orange,255,139,0,69,37,75,2
150,3147,English (English),0,6,5,Hot pink,255,0,169,56,88,-18,31
151,3147,English (English),0,6,6,Red,255,0,67,53,81,39,34
152,3147,English (English),0,6,7,Navy,0,111,255,50,29,-78,22
153,3147,English (English),0,6,8,Mauve,232,0,255,56,94,-67,28
154,3147,English (English),0,6,9,Mustard,255,186,0,79,12,82,4
155,3147,English (English),0,6,10,70's China yellow,255,180,0,78,16,81,3
156,3147,English (English),0,6,11,Bright pink,255,0,116,54,83,10,32
157,3156,"Korean (한국어, 조선어)",0,1,0,파랑,0,47,255,36,66,-100,24
158,3156,"Korean (한국어, 조선어)",0,1,1,연두,95,255,0,88,-75,84,9
159,3156,"Korean (한국어, 조선어)",0,1,2,파랑,0,0,255,32,79,-107,25
160,3156,"Korean (한국어, 조선어)",0,1,3,보라,100,0,255,37,81,-98,26
161,3156,"Korean (한국어, 조선어)",0,1,4,에메랄드,0,255,153,88,-72,34,12
162,3156,"Korean (한국어, 조선어)",0,1,5,연두,0,255,73,87,-83,68,10
163,3156,"Korean (한국어, 조선어)",0,1,6,핑크,255,0,146,55,85,-5,31
164,3156,"Korean (한국어, 조선어)",0,1,7,핑크,255,0,237,59,95,-52,29
165,3156,"Korean (한국어, 조선어)",0,1,8,오렌지,255,160,0,73,26,78,3
166,3156,"Korean (한국어, 조선어)",0,1,9,파랑,0,80,255,42,48,-90,23
167,3156,"Korean (한국어, 조선어)",0,1,10,파랑,0,113,255,50,28,-77,21
168,3156,"Korean (한국어, 조선어)",0,1,11,하늘,0,171,255,66,-6,-51,19
169,3156,"Korean (한국어, 조선어)",0,3,0,하늘,0,255,232,90,-54,-3,15
170,3156,"Korean (한국어, 조선어)",0,3,1,노랑,255,227,0,89,-7,89,5
171,3156,"Korean (한국어, 조선어)",0,3,2,분홍,255,0,87,53,82,27,33
172,3156,"Korean (한국어, 조선어)",0,3,3,하늘,0,205,255,76,-24,-36,17
173,3156,"Korean (한국어, 조선어)",0,3,4,연두,206,255,0,93,-41,90,7
174,3156,"Korean (한국어, 조선어)",0,3,5,보라,173,0,255,47,87,-82,27
175,3156,"Korean (한국어, 조선어)",0,3,6,노랑,255,248,0,95,-18,93,6
176,3156,"Korean (한국어, 조선어)",0,3,7,하늘,0,243,255,87,-42,-19,16
177,3156,"Korean (한국어, 조선어)",0,3,8,빨강,255,0,50,53,80,48,34
178,3156,"Korean (한국어, 조선어)",0,3,9,분홍,255,0,247,59,97,-57,28
179,3156,"Korean (한국어, 조선어)",0,3,10,분홍,255,0,193,57,90,-30,30
180,3156,"Korean (한국어, 조선어)",0,3,11,연두,0,255,206,89,-61,9,14
181,3156,"Korean (한국어, 조선어)",0,6,0,노랑,255,206,0,84,2,85,4
182,3156,"Korean (한국어, 조선어)",0,6,1,하늘,0,210,255,78,-27,-33,17
183,3156,"Korean (한국어, 조선어)",0,6,2,연두,177,255,0,92,-51,88,8
184,3156,"Korean (한국어, 조선어)",0,6,3,주황,255,95,0,61,58,70,1
185,3156,"Korean (한국어, 조선어)",0,6,4,빨강,255,0,23,53,80,60,35
186,3156,"Korean (한국어, 조선어)",0,6,5,연두,0,255,190,89,-64,17,13
187,3156,"Korean (한국어, 조선어)",0,6,6,파랑,0,144,255,59,8,-63,20
188,3156,"Korean (한국어, 조선어)",0,6,7,주황,255,135,0,68,39,74,2
189,3156,"Korean (한국어, 조선어)",0,6,8,파랑,0,117,255,51,25,-75,21
190,3156,"Korean (한국어, 조선어)",0,6,9,분홍,255,0,140,55,85,-2,32
191,3156,"Korean (한국어, 조선어)",0,6,10,연두,0,255,84,88,-82,65,11
192,3156,"Korean (한국어, 조선어)",0,6,11,빨강,255,43,0,55,74,67,0
193,3154,Urdu (اردو),0,1,0,peela,255,240,0,93,-14,91,5
194,3154,Urdu (اردو),0,1,1,hara,80,255,0,88,-78,84,9
195,3154,Urdu (اردو),0,1,2,laal,255,53,0,55,72,68,0
196,3154,Urdu (اردو),0,1,3,orange,255,198,0,82,6,84,4
197,3154,Urdu (اردو),0,1,4,gullabi,255,0,193,57,90,-30,30
198,3154,Urdu (اردو),0,1,5,maroon,255,0,78,53,81,32,34
199,3154,Urdu (اردو),0,1,6,Asmani,0,213,255,78,-28,-32,17
200,3154,Urdu (اردو),0,1,7,gullabi,255,0,139,55,85,-2,32
201,3154,Urdu (اردو),0,1,8,hara,186,255,0,92,-48,89,7
202,3154,Urdu (اردو),0,1,9,peela,255,246,0,94,-17,92,6
203,3154,Urdu (اردو),0,1,10,neela,0,74,255,41,52,-92,23
204,3154,Urdu (اردو),0,1,11,orange,255,140,0,69,36,75,2
205,3157,Spanish (español),0,1,0,amarillo,255,204,0,84,3,85,4
206,3157,Spanish (español),0,1,1,magenta,255,0,207,57,92,-37,30
207,3157,Spanish (español),0,1,2,,0,255,133,88,-75,44,12
208,3157,Spanish (español),0,1,3,,255,0,124,54,84,6,32
209,3157,Spanish (español),0,1,4,rojo,255,0,64,53,81,40,34
210,3157,Spanish (español),0,1,5,,187,255,0,92,-48,89,7
211,3157,Spanish (español),0,1,6,turquesa,0,255,232,90,-54,-3,15
212,3157,Spanish (español),0,1,7,verde claro,136,255,0,90,-65,86,8
213,3157,Spanish (español),0,1,8,naranja,255,122,0,65,45,73,2
214,3157,Spanish (español),0,1,9,,0,255,171,89,-69,26,13
215,3157,Spanish (español),0,1,10,,255,181,0,78,15,81,3
216,3157,Spanish (español),0,1,11,morado,137,0,255,42,83,-91,26
217,3161,English (English),0,1,0,Red-orange,255,77,0,58,65,69,0
218,3161,English (English),0,1,1,Yellow,255,253,0,96,-20,94,6
219,3161,English (English),0,1,2,Light green,165,255,0,91,-56,87,8
220,3161,English (English),0,1,3,Light purple,219,0,255,54,92,-70,27
221,3161,English (English),0,1,4,Blue,0,131,255,55,16,-69,21
222,3161,English (English),0,1,5,Blue,0,155,255,62,2,-58,20
223,3161,English (English),0,1,6,Blue,0,182,255,69,-12,-46,18
224,3161,English (English),0,1,7,Dark pink,255,0,105,54,83,17,33
225,3161,English (English),0,1,8,Turquoise,0,215,255,79,-29,-31,17
226,3161,English (English),0,1,9,Turquoise,0,255,232,90,-54,-3,15
227,3161,English (English),0,1,10,Blue,0,174,255,67,-8,-50,19
228,3161,English (English),0,1,11,Pink,255,0,179,56,88,-23,30
229,3163,English (English),0,1,0,teal,0,238,255,86,-40,-21,16
230,3163,English (English),0,1,1,blue,0,56,255,37,62,-98,24
231,3163,English (English),0,1,2,blue,0,90,255,44,42,-86,22
232,3163,English (English),0,1,3,purple,125,0,255,40,82,-93,26
233,3163,English (English),0,1,4,aqua,0,166,255,65,-3,-53,19
234,3163,English (English),0,1,5,orange,255,105,0,62,53,71,1
235,3163,English (English),0,1,6,yellow,255,225,0,89,-6,88,5
236,3163,English (English),0,1,7,teal,0,218,255,80,-31,-30,17
237,3163,English (English),0,1,8,orange/yellow,255,165,0,74,23,78,3
238,3163,English (English),0,1,9,orange,255,129,0,67,42,74,2
239,3163,English (English),0,1,10,yellow,255,249,0,95,-18,93,6
240,3163,English (English),0,1,11,purple,211,0,255,53,91,-72,27
241,3157,Spanish (español),0,3,0,celeste,0,201,255,75,-22,-38,18
242,3157,Spanish (español),0,3,1,azul,0,50,255,36,65,-100,24
243,3157,Spanish (español),0,3,2,,0,225,255,82,-34,-27,17
244,3157,Spanish (español),0,3,3,,255,0,243,59,96,-55,29
245,3157,Spanish (español),0,3,4,rojo,255,0,5,53,80,65,35
246,3157,Spanish (español),0,3,5,,255,0,248,59,97,-57,28
247,3157,Spanish (español),0,3,6,,0,113,255,50,28,-77,21
248,3157,Spanish (español),0,3,7,turquesa,0,255,212,89,-59,6,14
249,3157,Spanish (español),0,3,8,verde claro,79,255,0,88,-79,84,9
250,3157,Spanish (español),0,3,9,violeta,214,0,255,53,92,-72,27
251,3157,Spanish (español),0,3,10,,0,148,255,60,6,-62,20
252,3157,Spanish (español),0,3,11,azul cielo,0,163,255,64,-2,-55,19
253,3165,English (English),0,1,0,Orange,255,223,0,88,-5,88,5
254,3165,English (English),0,1,1,Red,255,42,0,54,75,67,0
255,3165,English (English),0,1,2,Teal,0,255,184,89,-66,20,13
256,3165,English (English),0,1,3,Pink,255,0,191,57,90,-29,30
257,3165,English (English),0,1,4,Violet,255,0,247,59,97,-57,28
258,3165,English (English),0,1,5,Blue,0,255,249,90,-49,-11,15
259,3165,English (English),0,1,6,Blue,0,221,255,81,-32,-29,17
260,3165,English (English),0,1,7,Teal,0,255,191,89,-64,16,13
261,3165,English (English),0,1,8,Yellow,250,255,0,96,-23,94,6
262,3165,English (English),0,1,9,Blue,0,79,255,42,49,-90,23
263,3165,English (English),0,1,10,Red,255,0,45,53,80,50,35
264,3165,English (English),0,1,11,Blue,0,240,255,86,-41,-20,16
265,3160,English (English),0,1,0,Light blue,0,239,255,86,-41,-21,16
266,3160,English (English),0,1,1,Cobalt,238,0,255,57,95,-65,28
267,3160,English (English),0,1,2,Scarlet,255,0,63,53,81,41,34
268,3160,English (English),0,1,3,Purple,255,0,201,57,91,-34,30
269,3160,English (English),0,1,4,Magenta,255,0,133,55,84,1,32
270,3160,English (English),0,1,5,Red,255,68,0,57,68,68,0
271,3160,English (English),0,1,6,Royal blue,162,0,255,45,86,-85,26
272,3160,English (English),0,1,7,White,0,255,239,90,-52,-6,15
273,3160,English (English),0,1,8,Orange,255,111,0,63,50,72,1
274,3160,English (English),0,1,9,Yellow,0,255,136,88,-75,42,12
275,3160,English (English),0,1,10,Fuchsia,255,0,97,54,82,21,33
276,3160,English (English),0,1,11,Cobalt,0,103,255,48,34,-81,22
277,3163,English (English),0,3,0,yellow,219,255,0,94,-36,91,7
278,3163,English (English),0,3,1,teal,0,255,208,89,-60,8,14
279,3163,English (English),0,3,2,lime green,112,255,0,89,-72,85,9
280,3163,English (English),0,3,3,magenta,255,0,233,59,95,-50,29
281,3163,English (English),0,3,4,pink,255,0,101,54,82,19,33
282,3163,English (English),0,3,5,orange,255,76,0,58,65,69,0
283,3163,English (English),0,3,6,teel,0,255,235,90,-53,-4,15
284,3163,English (English),0,3,7,magenta,255,0,197,57,90,-32,30
285,3163,English (English),0,3,8,aqua,0,255,133,88,-75,44,12
286,3163,English (English),0,3,9,lime gren,166,255,0,91,-55,87,8
287,3163,English (English),0,3,10,blue,0,125,255,53,20,-72,21
288,3163,English (English),0,3,11,red,255,0,41,53,80,52,35
289,3166,English (English),0,1,0,fuschia,255,0,189,57,90,-28,30
290,3166,English (English),0,1,1,navy blue,73,0,255,35,80,-102,25
291,3166,English (English),0,1,2,orange,255,189,0,80,11,82,4
292,3166,English (English),0,1,3,magenta,255,0,237,59,95,-52,29
293,3166,English (English),0,1,4,purple,155,0,255,44,85,-87,26
294,3166,English (English),0,1,5,turquoise,0,255,190,89,-64,17,13
295,3166,English (English),0,1,6,purple,193,0,255,50,89,-77,27
296,3166,English (English),0,1,7,orange,255,103,0,62,54,71,1
297,3166,English (English),0,1,8,yellow,255,220,0,88,-4,88,5
298,3166,English (English),0,1,9,magenta,229,0,255,55,94,-68,28
299,3166,English (English),0,1,10,green,0,255,30,87,-85,80,10
300,3166,English (English),0,1,11,pink,255,0,81,53,81,30,33
301,3157,Spanish (español),0,6,0,,255,0,107,54,83,16,33
302,3157,Spanish (español),0,6,1,amarillo,255,251,0,96,-19,93,6
303,3157,Spanish (español),0,6,2,azul,0,79,255,42,49,-90,23
304,3157,Spanish (español),0,6,3,amarillo,255,238,0,92,-13,91,5
305,3157,Spanish (español),0,6,4,,255,0,160,55,87,-13,31
306,3157,Spanish (español),0,6,5,turqueza,0,244,255,87,-43,-18,16
307,3157,Spanish (español),0,6,6,azul zafiro,0,25,255,33,74,-105,25
308,3157,Spanish (español),0,6,7,rojo,255,73,0,58,66,69,0
309,3157,Spanish (español),0,6,8,naranja,255,97,0,61,57,70,1
310,3157,Spanish (español),0,6,9,azul real,0,126,255,54,20,-71,21
311,3157,Spanish (español),0,6,10,lima,0,255,100,88,-80,58,11
